date,US,Germany,UK,Canada,Australia
07/25/18,2846.07,12579.30,7658.26,16420.80,6247.65
07/24/18,2820.40,12689.40,7709.05,16390.10,6265.84
07/23/18,2806.98,12548.60,7655.79,16420.80,6227.56
07/20/18,2801.83,12561.40,7678.79,16435.50,6285.85
07/19/18,2804.49,12686.30,7683.97,16543.00,6262.70
07/18/18,2815.62,12765.90,7676.28,16477.40,6245.11
07/17/18,2809.55,12661.50,7626.33,16519.20,6203.64
07/16/18,2798.43,12561.00,7600.45,16494.70,6241.52
07/13/18,2801.31,12540.70,7661.87,16561.10,6268.39
07/12/18,2798.29,12493.00,7651.33,16567.40,6268.31
07/11/18,2774.02,12417.10,7591.96,16417.30,6215.60
07/10/18,2793.84,12609.90,7692.04,16548.70,6258.10
07/09/18,2784.17,12543.90,7687.99,16452.30,6286.04
07/06/18,2759.82,12496.20,7617.70,16371.80,6272.29
07/05/18,2736.61,12464.30,7603.22,16266.60,6215.52
07/03/18,2713.22,12349.10,7593.29,16263.20,6210.21
07/02/18,2726.71,12238.20,7547.85,16277.70,6177.79
06/29/18,2718.37,12306.00,7636.93,16277.70,6194.63
06/28/18,2716.31,12177.20,7615.63,16179.90,6215.39
06/27/18,2699.63,12348.60,7621.69,16231.30,6195.86
06/26/18,2723.06,12234.30,7537.92,16280.10,6197.61
06/25/18,2717.07,12270.30,7509.84,16184.00,6210.41
06/22/18,2754.88,12579.70,7682.27,16450.10,6225.23
06/21/18,2749.76,12511.90,7556.44,16335.20,6232.13
06/20/18,2767.32,12695.20,7627.40,16421.00,6172.58
06/19/18,2762.59,12678.00,7603.85,16316.50,6102.12
06/18/18,2773.75,12834.10,7631.33,16383.60,6104.13
06/15/18,2779.66,13010.50,7633.91,16314.40,6094.03
06/14/18,2782.49,13107.10,7765.79,16329.00,6016.64
06/13/18,2775.63,12890.60,7703.71,16265.80,6023.53
06/12/18,2786.85,12842.30,7703.81,16289.00,6054.44
06/11/18,2782.00,12842.90,7737.43,16263.30,6045.18
06/08/18,2779.03,12766.50,7681.07,16202.70,6045.18
06/07/18,2770.37,12811.00,7704.40,16192.80,6057.29
06/06/18,2772.35,12830.10,7712.37,16183.90,6025.11
06/05/18,2748.80,12787.10,7686.80,16122.30,5994.88
06/04/18,2746.87,12770.80,7741.29,16052.20,6025.55
06/01/18,2734.62,12724.30,7701.77,16043.50,5990.39
05/31/18,2705.27,12604.90,7678.20,16061.50,6011.88
05/30/18,2724.01,12783.80,7689.57,16048.70,5984.73
05/29/18,2689.86,12666.50,7632.64,15922.60,6013.56
05/25/18,2721.33,12938.00,7730.28,16075.70,6032.82
05/24/18,2727.76,12855.10,7716.74,16113.60,6037.08
05/23/18,2733.29,12976.80,7788.44,16133.80,6032.51
05/22/18,2724.44,13169.90,7877.45,16144.80,6041.87
05/21/18,2733.01,13077.70,7859.17,16162.30,6084.49
05/18/18,2712.97,13077.70,7778.79,16162.30,6087.36
05/17/18,2720.13,13114.60,7787.97,16143.50,6094.26
05/16/18,2722.46,12996.30,7734.20,16108.10,6106.96
05/15/18,2711.45,12970.00,7722.98,16097.80,6097.82
05/14/18,2730.13,12977.70,7710.98,16085.60,6135.30
05/11/18,2727.72,13001.20,7724.55,15983.30,6116.19
05/10/18,2723.07,13022.90,7700.97,15959.50,6118.75
05/09/18,2697.79,12943.10,7662.52,15910.80,6108.02
05/08/18,2671.92,12912.20,7565.75,15842.70,6091.89
05/07/18,2672.63,12948.10,7567.14,15808.60,6084.47
05/04/18,2663.42,12819.60,7567.14,15729.40,6062.89
05/03/18,2629.73,12690.20,7502.69,15621.50,6098.27
05/02/18,2635.67,12802.30,7543.20,15627.90,6050.19
05/01/18,2654.80,12612.10,7520.36,15618.90,6015.23
04/30/18,2648.05,12612.10,7509.30,15607.90,5982.73
04/27/18,2669.91,12580.90,7502.21,15668.90,5953.65
04/26/18,2666.94,12500.50,7421.43,15637.60,5910.77
04/25/18,2639.40,12422.30,7379.32,15509.80,5921.55
04/24/18,2634.56,12550.80,7425.40,15477.00,5921.55
04/23/18,2670.29,12572.40,7398.87,15552.10,5886.01
04/20/18,2670.14,12540.50,7368.17,15484.30,5868.78
04/19/18,2693.13,12567.40,7328.92,15454.40,5881.00
04/18/18,2708.64,12590.80,7317.34,15530.00,5861.42
04/17/18,2706.39,12585.60,7226.05,15353.30,5841.55
04/16/18,2677.84,12391.40,7198.20,15300.40,5841.34
04/13/18,2656.30,12442.40,7264.56,15274.00,5829.08
04/12/18,2663.99,12415.00,7258.34,15269.30,5815.53
04/11/18,2642.19,12294.00,7257.14,15257.90,5828.68
04/10/18,2656.87,12397.30,7266.75,15262.10,5856.97
04/09/18,2613.16,12261.80,7194.75,15227.70,5808.67
04/06/18,2604.47,12241.30,7183.64,15207.40,5788.74
04/05/18,2662.84,12305.20,7199.50,15356.00,5788.81
04/04/18,2644.69,11957.90,7034.01,15164.40,5761.35
04/03/18,2614.45,12002.50,7030.46,15180.80,5751.92
04/02/18,2581.88,12096.70,7056.61,15213.50,5759.36
03/29/18,2640.87,12096.70,7056.61,15367.30,5759.36
03/28/18,2605.00,11940.70,7044.74,15169.90,5789.47
03/27/18,2612.62,11970.80,7000.14,15216.20,5832.30
03/26/18,2658.55,11787.30,6888.69,15298.60,5790.47
03/23/18,2588.26,11886.30,6921.94,15223.70,5820.73
03/22/18,2643.69,12100.10,6952.59,15399.90,5937.15
03/21/18,2711.93,12309.20,7038.97,15675.30,5950.27
03/20/18,2716.94,12307.30,7061.27,15616.40,5936.38
03/19/18,2712.92,12217.00,7042.93,15589.40,5959.43
03/16/18,2752.01,12389.60,7164.14,15711.30,5949.42
03/15/18,2747.33,12345.60,7139.76,15670.60,5920.85
03/14/18,2749.48,12237.70,7132.69,15653.60,5935.31
03/13/18,2765.31,12221.00,7138.78,15647.10,5974.71
03/12/18,2783.02,12418.40,7214.76,15604.80,5996.12
03/09/18,2786.57,12346.70,7224.51,15577.80,5963.23
03/08/18,2738.97,12355.60,7203.24,15538.70,5942.87
03/07/18,2726.80,12245.40,7157.84,15472.60,5901.99
03/06/18,2728.12,12113.90,7146.75,15545.20,5962.44
03/05/18,2720.94,12090.90,7115.98,15541.30,5895.03
03/02/18,2691.25,11913.70,7069.90,15384.60,5928.90
03/01/18,2677.67,12190.90,7175.64,15394.00,5973.34
02/28/18,2713.83,12435.90,7231.91,15442.70,6015.96
02/27/18,2744.28,12490.70,7282.45,15671.20,6056.86
02/26/18,2779.60,12527.00,7289.58,15714.70,6042.18
02/23/18,2747.30,12483.80,7244.41,15638.50,5999.78
